ID NbBats Proj Graph Tree Trace
44123c25000508 6 0.08922863006591797 0.04571938514709473 0.24729394912719727 0.0636894702911377
44123c25000083 2 0.03128814697265625 0.027353763580322266 0.06667327880859375 0.01799321174621582
44123c25000502 6 0.10033345222473145 0.08013200759887695 0.6394248008728027 0.08007383346557617
44123c25000165 3 0.03787064552307129 0.03792762756347656 0.17159175872802734 0.04911637306213379
44123c25000156 46 1.1232683658599854 0.22240281105041504 6.975135803222656 0.387331485748291
44123c25000447 6 0.07962656021118164 0.0492711067199707 0.5081996917724609 0.05771636962890625
44123c25000246 14 0.23849987983703613 0.1412215232849121 1.7163081169128418 0.14503216743469238
44123c25000155 5 0.07817244529724121 0.04645967483520508 0.5092175006866455 0.04218173027038574
44123c25000399 11 0.17362141609191895 0.08132100105285645 1.2740814685821533 0.10329818725585938
44123c25000468 2 0.026067256927490234 0.03479266166687012 0.29828500747680664 0.02090311050415039
44123c25000476 8 0.1272730827331543 0.0670468807220459 1.4618089199066162 0.11051034927368164
44123c25000353 16 0.24695563316345215 0.07285428047180176 1.5956990718841553 0.10972785949707031
44123c25000299 3 0.045068979263305664 0.017987489700317383 0.08293867111206055 0.017184019088745117
44123c25000500 7 0.0942988395690918 0.04876089096069336 0.49396777153015137 0.050090789794921875
44123c25000465 21 0.5884742736816406 0.20858097076416016 9.538691520690918 0.357837438583374
44123c25000467 2 0.028757810592651367 0.058953046798706055 0.19109702110290527 0.014342069625854492
44123c25000470 5 0.06172609329223633 0.04239630699157715 0.1185157299041748 0.030221223831176758
44123c25000279 16 0.2267441749572754 0.06795024871826172 0.5359432697296143 0.1879122257232666
44123c25000150 4 0.06339097023010254 0.04213404655456543 0.5644245147705078 0.057769060134887695
44123c25000313 15 0.24318242073059082 0.09130859375 1.7181789875030518 0.1400737762451172
44123c25000342 7 0.13369441032409668 0.07146191596984863 0.6597845554351807 0.05909395217895508
44123c25000445 11 0.18479442596435547 0.048735618591308594 0.5680532455444336 0.12308096885681152
44123c25000183 48 1.5145068168640137 0.3076331615447998 12.064292907714844 0.40982747077941895
44123c25000047 27 0.5598456859588623 0.15961337089538574 3.54805326461792 0.22901415824890137
44123c25000459 3 0.04393362998962402 0.030133962631225586 0.3328533172607422 0.029219627380371094
44123c25000226 2 0.03173327445983887 0.04422807693481445 0.18647480010986328 0.01801156997680664
44123c25000237 9 0.16262364387512207 0.5328969955444336 1.9078710079193115 0.09192895889282227
44123c25000451 3 0.07617044448852539 0.06861209869384766 0.31610608100891113 0.03296041488647461
44123c25000177 2 0.03371930122375488 0.014397382736206055 0.03831005096435547 0.026117801666259766
44123c25000022 13 0.30477094650268555 0.16708898544311523 3.0227017402648926 0.13727045059204102
44123c25000157 27 0.7226550579071045 0.2016153335571289 6.337256193161011 0.3001532554626465
44123c25000464 10 0.1402723789215088 0.24479031562805176 0.7577965259552002 0.15439224243164062
44123c25000265 17 0.3292958736419678 0.12085080146789551 2.9235715866088867 0.2604696750640869
44123c25000506 4 0.07375764846801758 0.02146458625793457 0.20631742477416992 0.05177712440490723
